,Unnamed: 0,Gene,variance,SD
8958,8958,LILRB3,0.238639874,0.488507804
9023,9023,LINC00254,0.235716749,0.485506693
13834,13834,NSFP1,0.234047457,0.483784515
9314,9314,LINC00924,0.232407559,0.482086671
8955,8955,LILRA6,0.228987908,0.47852681
15198,15198,PIGW,0.225284232,0.474641161
9003,9003,LINC00167,0.225198051,0.474550367
8994,8994,LINC00112,0.219672367,0.468692187
12900,12900,MSANTD2,0.219184023,0.468170933
9030,9030,LINC00271,0.210140726,0.458411089
12901,12901,MSANTD3,0.208892347,0.457047423
5285,5285,EXOSC2,0.199696005,0.446873589
15300,15300,PLA2G12B,0.199367341,0.446505701
12899,12899,MSANTD1,0.198191335,0.445186854
13851,13851,NT5C,0.196834221,0.443660029
8990,8990,LINC00052,0.195593477,0.442259513
9026,9026,LINC00265,0.193954259,0.440402382
8973,8973,LIMS3,0.193722897,0.440139634
16153,16153,PTF1A,0.191008897,0.437045646
12902,12902,MSANTD3-TMEFF1,0.188742833,0.434445432
2583,2583,CCZ1,0.188417603,0.434070965
9027,9027,LINC00266-1,0.187594776,0.433122127
11924,11924,MIR5002,0.187493429,0.433005115
9000,9000,LINC00160,0.187278841,0.432757254
13833,13833,NSFL1C,0.185723481,0.430956472
8987,8987,LINC00029,0.182963595,0.427742441
12592,12592,MIRLET7A2,0.180939809,0.425370203
8966,8966,LIMD1-AS1,0.180621375,0.424995736
8970,8970,LIMK2,0.178820328,0.422871526
16208,16208,PTPN6,0.178064208,0.421976549
8997,8997,LINC00115,0.177274747,0.421040077
13847,13847,NSUN5P1,0.176934646,0.420636002
9016,9016,LINC00229,0.17640411,0.420004892
10301,10301,LRRC56,0.172750775,0.415632981
7314,7314,HMX1,0.170070097,0.412395559
8985,8985,LINC-ROR,0.167749155,0.409571916
5141,5141,EPPK1,0.167113134,0.408794734
8989,8989,LINC00051,0.165551375,0.40688005
10266,10266,LRRC26,0.161268429,0.401582406
2673,2673,CD96,0.158580676,0.398221893
12643,12643,MLST8,0.158391699,0.397984547
9002,9002,LINC00163,0.157996489,0.397487721
1967,1967,C2orf15,0.157488946,0.39684877
9033,9033,LINC00276,0.15737843,0.396709503
9013,9013,LINC00221,0.155663465,0.394542095
8976,8976,LIN28B,0.153768631,0.392133435
3272,3272,CLTCL1,0.152819694,0.390921595
8143,8143,KAT2B,0.151622965,0.389387937
16412,16412,RAD1,0.150734649,0.388245604
12542,12542,MIR8084,0.149825464,0.387072944
9020,9020,LINC00242,0.149721359,0.386938443
8986,8986,LINC00028,0.149485561,0.386633626
14536,14536,OTUB2,0.148212599,0.384983894
9012,9012,LINC00211,0.146774523,0.383111633
6816,6816,GRAMD4,0.144872405,0.380621079
9010,9010,LINC00208,0.144452339,0.380068861
9022,9022,LINC00251,0.143244177,0.378476125
8956,8956,LILRB1,0.139632357,0.373674132
12903,12903,MSANTD4,0.139415883,0.373384363
13854,13854,NT5C1B-RDH14,0.138788388,0.372543135
12896,12896,MS4A6E,0.138699398,0.372423681
7318,7318,HNF1A-AS1,0.138357788,0.371964767
5232,5232,ETFA,0.138267152,0.371842912
12538,12538,MIR8080,0.138077808,0.371588224
10921,10921,MGC32805,0.137643769,0.371003732
9015,9015,LINC00226,0.136460089,0.369405047
9008,9008,LINC00200,0.134833359,0.367196622
6324,6324,GCKR,0.134791122,0.367139105
13846,13846,NSUN5,0.134655869,0.366954859
13842,13842,NSRP1,0.134441477,0.36666262
13832,13832,NSF,0.133981592,0.36603496
12858,12858,MRPS18A,0.132704119,0.364285765
8979,8979,LIN54,0.132441524,0.363925163
10261,10261,LRRC2-AS1,0.131216372,0.362238005
13862,13862,NT5M,0.131149529,0.362145729
11625,11625,MIR4427,0.130275377,0.360936805
9021,9021,LINC00244,0.129998622,0.360553217
10313,10313,LRRC73,0.129533261,0.359907294
13837,13837,NSMAF,0.12897723,0.359134
681,681,ANKIB1,0.128418762,0.358355636
7562,7562,HTRA2,0.127656033,0.357289844
4035,4035,DAPK3,0.127147682,0.356577736
8964,8964,LIMCH1,0.126714922,0.355970395
10329,10329,LRRK1,0.126561192,0.355754398
8906,8906,LGALS4,0.123829326,0.351893913
13829,13829,NSA2,0.123524128,0.351459996
9019,9019,LINC00240,0.121983867,0.349261889
8952,8952,LILRA3,0.121966321,0.349236769
13844,13844,NSUN3,0.120826661,0.347601297
9007,9007,LINC00189,0.120467881,0.347084833
13836,13836,NSL1,0.120103101,0.346558943
17062,17062,RPE65,0.119053657,0.34504153
11420,11420,MIR3649,0.119009028,0.344976851
13874,13874,NTNG1,0.118728854,0.344570535
13861,13861,NT5E,0.118111607,0.343673693
8971,8971,LIMS1,0.117958945,0.343451518
13859,13859,NT5DC2,0.117325862,0.342528629
8980,8980,LIN7A,0.116879644,0.341876651
9014,9014,LINC00222,0.116675931,0.341578587
13864,13864,NTF3,0.115762276,0.340238558
7304,7304,HMGN4,0.115198121,0.339408487
9031,9031,LINC00272,0.115084416,0.339240941
8984,8984,LINC-PINT,0.113939099,0.337548662
13843,13843,NSUN2,0.113037257,0.336210137
7319,7319,HNF1B,0.112929695,0.336050137
8992,8992,LINC00102,0.112855833,0.335940222
5976,5976,FOLH1B,0.110628504,0.332608635
13115,13115,MYL6B,0.110139944,0.331873385
5622,5622,FAR1,0.110111293,0.331830217
8960,8960,LILRB5,0.10935569,0.330689718
9024,9024,LINC00260,0.108716516,0.329721876
8988,8988,LINC00032,0.108239967,0.32899843
2066,2066,C8orf48,0.107919179,0.328510547
13830,13830,NSD1,0.107299881,0.327566605
13853,13853,NT5C1B,0.105046035,0.32410806
8983,8983,LIN9,0.104938821,0.32394262
13858,13858,NT5DC1,0.104881728,0.323854485
13855,13855,NT5C2,0.104482599,0.323237681
12898,12898,MS4A8,0.104466597,0.323212928
4586,4586,DPEP1,0.102833459,0.320676564
14205,14205,OR2K2,0.101582168,0.318719576
8547,8547,KNDC1,0.101172978,0.318077
10328,10328,LRRIQ4,0.100620067,0.317206664
9001,9001,LINC00161,0.100274588,0.31666163
13831,13831,NSDHL,0.099962184,0.316167968
8993,8993,LINC00111,0.099492744,0.315424704
10472,10472,MAEL,0.099402404,0.315281468
10308,10308,LRRC69,0.099380677,0.315247009
13828,13828,NRXN3,0.09822973,0.313416225
8996,8996,LINC00114,0.097332969,0.311982322
10322,10322,LRRCC1,0.096735906,0.311023963
12540,12540,MIR8082,0.096683638,0.310939927
7805,7805,IL23A,0.096358356,0.310416424
3245,3245,CLN5,0.096311446,0.310340855
10273,10273,LRRC32,0.096252764,0.310246295
914,914,APTR,0.096036188,0.309897061
10312,10312,LRRC72,0.095416394,0.308895441
7313,7313,HMSD,0.09539477,0.308860437
7678,7678,IFRD2,0.095319174,0.308738035
13809,13809,NRG4,0.095232753,0.308598045
10666,10666,MATN1-AS1,0.094864835,0.308001356
8982,8982,LIN7C,0.094686501,0.307711717
10277,10277,LRRC37A11P,0.09423104,0.306970748
8991,8991,LINC00092,0.093857545,0.306361788
7356,7356,HOMEZ,0.093671263,0.306057614
8950,8950,LILRA1,0.09255754,0.304232707
1851,1851,C17orf78,0.091351541,0.302244175
10321,10321,LRRC9,0.090678258,0.301128308
14754,14754,PC,0.09050422,0.300839193
9009,9009,LINC00207,0.090443264,0.300737866
13849,13849,NSUN6,0.090231001,0.300384755
7634,7634,IFI44L,0.089908126,0.299846837
10316,10316,LRRC8A,0.089781888,0.29963626
9223,9223,LINC00663,0.089596748,0.29932716
7572,7572,HVCN1,0.089507088,0.299177352
8292,8292,KCTD6,0.089091557,0.298482088
13835,13835,NSG1,0.088283113,0.297124744
8998,8998,LINC00158,0.087382946,0.295606066
13856,13856,NT5C3A,0.087321692,0.29550244
13857,13857,NT5C3B,0.087311271,0.295484806
7458,7458,HS3ST5,0.086961878,0.294892993
12920,12920,MSMO1,0.086863799,0.294726652
1648,1648,BOLL,0.086646301,0.294357438
13683,13683,NOTCH2,0.086399569,0.293938036
10320,10320,LRRC8E,0.086316996,0.293797542
10309,10309,LRRC7,0.086094314,0.293418327
13860,13860,NT5DC3,0.084526427,0.290734289
12541,12541,MIR8083,0.084520109,0.290723424
758,758,ANKS1A,0.084444526,0.290593403
3256,3256,CLPSL2,0.08374536,0.289387905
7935,7935,IPO9,0.083603493,0.289142686
10274,10274,LRRC34,0.083513973,0.288987843
14590,14590,P2RY8,0.082991108,0.288081772
4002,4002,CYTH3,0.08260691,0.287414178
5971,5971,FNIP2,0.082577707,0.287363372
10402,10402,LY6G6F,0.081946807,0.286263528
8974,8974,LIMS3-LOC440895,0.081759005,0.285935317
9004,9004,LINC00173,0.080365325,0.283487787
12893,12893,MS4A4A,0.080193668,0.283184865
9041,9041,LINC00299,0.079991242,0.282827229
8008,8008,ISOC2,0.079836974,0.282554374
10403,10403,LY6H,0.079505632,0.281967432
13845,13845,NSUN4,0.079440802,0.281852448
10317,10317,LRRC8B,0.07925536,0.281523286
7204,7204,HHLA1,0.07904552,0.281150352
13838,13838,NSMCE1,0.078956046,0.280991186
14098,14098,OR10H2,0.078796731,0.280707555
10256,10256,LRRC15,0.07839316,0.279987785
12894,12894,MS4A5,0.078366028,0.27993933
8981,8981,LIN7B,0.078280703,0.279786889
13850,13850,NSUN7,0.077711613,0.278768028
12587,12587,MIR96,0.077289288,0.27800951
15451,15451,PML,0.076587716,0.276744857
7691,7691,IFT81,0.076519513,0.276621607
13852,13852,NT5C1A,0.076475871,0.276542711
3846,3846,CUEDC2,0.076118108,0.275895103
16359,16359,RAB38,0.075752272,0.275231307
13209,13209,NACC1,0.075432613,0.274649982
5386,5386,FAM133B,0.075373932,0.274543134
7383,7383,HOXB1,0.075246179,0.274310371
10401,10401,LY6G6E,0.073752882,0.271574818
7316,7316,HMX3,0.073718214,0.271510984
16135,16135,PTBP3,0.073657077,0.271398373
13840,13840,NSMCE4A,0.073358079,0.270846965
10324,10324,LRRFIP1,0.073351352,0.270834547
7557,7557,HTR5A,0.073281705,0.270705939
9025,9025,LINC00261,0.073085985,0.270344197
7309,7309,HMMR,0.072983675,0.270154908
6075,6075,FRRS1L,0.072942819,0.270079282
7806,7806,IL23R,0.07292609,0.27004831
184,184,ACR,0.072605139,0.269453408
8142,8142,KAT2A,0.071983183,0.268296818
5556,5556,FAM74A3,0.071945789,0.268227122
9005,9005,LINC00174,0.071578655,0.267541876
14409,14409,OR6C75,0.07037823,0.265288956
12921,12921,MSMP,0.070245193,0.265038098
13839,13839,NSMCE2,0.070067806,0.264703242
8953,8953,LILRA4,0.069521452,0.263669209
5056,5056,ENKD1,0.069517379,0.263661486
12340,12340,MIR6785,0.069329667,0.263305273
16478,16478,RAP1GDS1,0.069055723,0.262784556
7305,7305,HMGN5,0.068151463,0.261058351
8668,8668,KRTAP19-6,0.068029001,0.260823697
12897,12897,MS4A7,0.06798626,0.260741749
8969,8969,LIMK1,0.067762476,0.260312267
3165,3165,CLDN1,0.067526673,0.259858948
1324,1324,ATP7B,0.067298625,0.259419786
6165,6165,G6PC2,0.067200619,0.259230822
6989,6989,GUSBP1,0.067157622,0.259147876
13863,13863,NTAN1,0.06709103,0.259019362
12608,12608,MITF,0.067018402,0.258879126
7198,7198,HHATL,0.066954564,0.258755799
7927,7927,IPO11,0.066580852,0.258032656
10291,10291,LRRC42,0.066045556,0.256993299
693,693,ANKRD13B,0.065734539,0.256387479
14099,14099,OR10H3,0.065572281,0.256070851
3735,3735,CST8,0.06540049,0.255735194
10327,10327,LRRIQ3,0.065322545,0.255582756
10383,10383,LUC7L,0.065322468,0.255582605
7150,7150,HELZ2,0.065223598,0.255389111
7456,7456,HS3ST3B1,0.065148802,0.255242634
8968,8968,LIME1,0.06512633,0.255198609
15501,15501,POC5,0.06506887,0.255086006
9032,9032,LINC00273,0.064994845,0.254940866
10453,10453,M1AP,0.064947683,0.254848353
4835,4835,EEF2,0.064590345,0.254146307
10318,10318,LRRC8C,0.064477914,0.253925016
7916,7916,INTS6-AS1,0.063946631,0.25287671
12747,12747,MPI,0.063703312,0.25239515
13950,13950,NUP98,0.063412965,0.25181931
8671,8671,KRTAP2-1,0.063360639,0.251715394
1645,1645,BOLA2B,0.062938422,0.250875312
12613,12613,MKNK1,0.062859206,0.250717382
9017,9017,LINC00235,0.062846137,0.250691318
10314,10314,LRRC75A,0.062553238,0.250106453
16746,16746,RFX3,0.062382113,0.249764115
9487,9487,LINC01271,0.062273283,0.249546154
9960,9960,LOC101929427,0.06208924,0.249177125
12892,12892,MS4A3,0.062031703,0.249061645
11715,11715,MIR4524A,0.061874432,0.248745718
19,19,AADACP1,0.061845152,0.248686856
4941,4941,EIF3L,0.061824565,0.248645461
14014,14014,ODC1,0.061730641,0.248456517
11081,11081,MIR1295B,0.061181335,0.24734861
204,204,ACSS3,0.061140861,0.247266782
7312,7312,HMOX2,0.061096525,0.247177112
8479,8479,KLHL17,0.061089466,0.247162833
3836,3836,CTTN,0.060801163,0.246578918
10260,10260,LRRC2,0.060673975,0.246320879
1213,1213,ATAD2B,0.060494073,0.245955428
10311,10311,LRRC71,0.060381584,0.245726644
3532,3532,CPA4,0.059930183,0.244806419
15828,15828,PRDX2,0.05980523,0.244551078
8995,8995,LINC00113,0.059772651,0.244484459
11970,11970,MIR517A,0.059750882,0.244439935
8959,8959,LILRB4,0.059665729,0.244265694
12911,12911,MSH6,0.05950291,0.243932183
7206,7206,HHLA3,0.059474613,0.243874174
14466,14466,OR8U1,0.058938403,0.242772327
10227,10227,LRIF1,0.058828817,0.242546524
7308,7308,HMHB1,0.058562115,0.241996104
9730,9730,LOC100506474,0.058497443,0.241862447
12586,12586,MIR944,0.058470572,0.241806889
6246,6246,GALNT6,0.058345342,0.241547805
15454,15454,PMP2,0.058292855,0.241439133
8258,8258,KCNQ2,0.058215288,0.241278446
7807,7807,IL24,0.058204436,0.241255955
7310,7310,HMMR-AS1,0.058079608,0.240997111
14100,14100,OR10H4,0.057963119,0.24075531
10271,10271,LRRC30,0.057856649,0.240534091
14408,14408,OR6C74,0.05777125,0.240356507
1411,1411,B4GALT5,0.057760413,0.240333961
14101,14101,OR10H5,0.057456878,0.239701644
11273,11273,MIR3064,0.05730164,0.23937761
14587,14587,P2RY2,0.056144635,0.236948591
7183,7183,HEXB,0.055988181,0.236618218
4720,4720,DUSP4,0.055829644,0.236282975
15237,15237,PIP4K2C,0.055780137,0.23617819
144,144,ACBD4,0.055533643,0.235655773
7357,7357,HOOK1,0.055386605,0.235343588
14095,14095,OR10G8,0.055304329,0.235168724
14585,14585,P2RY13,0.05519036,0.234926285
4632,4632,DPYSL3,0.054993093,0.234506063
11698,11698,MIR450A2,0.054753524,0.233994709
4154,4154,DDX11L2,0.054640471,0.233753014
12165,12165,MIR6071,0.054261373,0.232940707
12789,12789,MRM1,0.054111449,0.232618677
7911,7911,INTS2,0.054081187,0.232553621
6259,6259,GANAB,0.054041104,0.232467426
10326,10326,LRRIQ1,0.053751187,0.231843022
639,639,AMY2A,0.053690034,0.231711101
12750,12750,MPND,0.053624764,0.231570215
11843,11843,MIR4747,0.053613064,0.231544951
6159,6159,FZD9,0.053604315,0.231526057
779,779,ANP32B,0.053451038,0.231194806
14097,14097,OR10H1,0.05343726,0.231165007
11922,11922,MIR5000,0.053292815,0.230852366
15505,15505,PODXL2,0.053267904,0.230798406
8473,8473,KLHL10,0.053205991,0.230664239
10319,10319,LRRC8D,0.053088075,0.230408496
8011,8011,ISY1,0.053085576,0.230403072
14936,14936,PDGFA,0.053084846,0.230401488
12637,12637,MLLT11,0.053077785,0.230386164
3079,3079,CHRNG,0.053036717,0.230297019
7784,7784,IL1B,0.052983389,0.23018121
16413,16413,RAD17,0.05294942,0.23010741
11573,11573,MIR4288,0.052947871,0.230104043
10832,10832,MEMO1,0.052746235,0.229665485
12539,12539,MIR8081,0.052598425,0.229343466
10323,10323,LRRD1,0.0522078,0.228490262
5888,5888,FKRP,0.05218466,0.228439621
10407,10407,LY86,0.052159699,0.228384981
16466,16466,RANBP17,0.052056542,0.228159029
14584,14584,P2RY12,0.052015785,0.228069694
12641,12641,MLNR,0.051974528,0.227979228
12653,12653,MMD2,0.051848017,0.227701596
9633,9633,LOC100130872,0.05169827,0.227372535
2956,2956,CFHR1,0.05160136,0.227159326
1620,1620,BMPER,0.051574438,0.227100063
8965,8965,LIMD1,0.051476195,0.226883659
8251,8251,KCNN1,0.051183694,0.226238135
2130,2130,CACNA1C-IT3,0.051068387,0.225983157
8427,8427,KIR3DS1,0.0509513,0.225723946
6247,6247,GALNT7,0.050813046,0.225417492
2671,2671,CD9,0.050783971,0.225352993
7914,7914,INTS5,0.050669993,0.225099963
5284,5284,EXOSC10,0.050559926,0.224855344
7306,7306,HMGXB3,0.050438045,0.22458416
13841,13841,NSMF,0.050338189,0.224361737
7199,7199,HHEX,0.050112344,0.223857866
4693,4693,DTX4,0.050001478,0.223610103
13826,13826,NRXN1,0.049812794,0.223187799
3244,3244,CLN3,0.049725292,0.222991685
4360,4360,DIO3,0.049372268,0.222198713
11390,11390,MIR338,0.049336112,0.222117338
9018,9018,LINC00239,0.049188353,0.221784474
7201,7201,HHIP-AS1,0.048983965,0.221323213
13114,13114,MYL6,0.048976905,0.221307263
12956,12956,MTA2,0.048850339,0.221021127
7320,7320,HNF4A,0.048785129,0.220873559
11421,11421,MIR3650,0.048655845,0.220580699
12922,12922,MSN,0.048576949,0.220401791
6544,6544,GMPPB,0.048508657,0.220246809
7192,7192,HGD,0.048462149,0.220141203
7221,7221,HIGD2B,0.048386624,0.219969599
7307,7307,HMGXB4,0.048284142,0.219736529
10530,10530,MAL,0.048091521,0.219297792
14737,14737,PAX7,0.048086893,0.219287238
12895,12895,MS4A6A,0.048032411,0.219162977
6610,6610,GOLGA4,0.047898877,0.21885812
12236,12236,MIR6504,0.047845708,0.218736618
15846,15846,PRH1,0.047798928,0.218629659
3752,3752,CT47A11,0.04770033,0.218404053
2062,2062,C8orf33,0.047678818,0.218354799
10270,10270,LRRC3,0.047655773,0.218302022
3148,3148,CLASRP,0.047435524,0.21779698
14582,14582,P2RY10,0.047431575,0.217787913
5598,5598,FAM95C,0.047397024,0.217708577
1966,1966,C2CD5,0.047379652,0.217668674
8056,8056,ITLN1,0.047169609,0.217185656
5097,5097,EPB41L2,0.047164708,0.217174372
6167,6167,G6PD,0.047075006,0.216967754
8146,8146,KAT6B,0.046875529,0.216507572
11890,11890,MIR4794,0.046797537,0.216327384
9442,9442,LINC01185,0.046742863,0.216200978
7194,7194,HGFAC,0.046741219,0.216197177
6161,6161,G0S2,0.046648332,0.215982249
12658,12658,MMP10,0.046614587,0.215904115
7203,7203,HHIPL2,0.046553668,0.215762989
8595,8595,KRT27,0.04644843,0.215518979
6253,6253,GALR1,0.046285967,0.215141737
9823,9823,LOC101927421,0.046195491,0.214931364
1233,1233,ATG101,0.046047929,0.214587812
13988,13988,OACYLP,0.046028054,0.214541497
1758,1758,BUD13,0.046013759,0.21450818
8967,8967,LIMD2,0.045994902,0.21446422
10390,10390,LUZP1,0.045884655,0.214207039
10259,10259,LRRC19,0.045799741,0.214008741
1649,1649,BOP1,0.045777743,0.21395734
8291,8291,KCTD5,0.045764437,0.213926241
12113,12113,MIR5691,0.045468727,0.213233973
10758,10758,MDH2,0.045242196,0.212702131
746,746,ANKRD53,0.04523614,0.212687893
6346,6346,GDF10,0.045211299,0.212629487
1641,1641,BOK,0.045024178,0.212189015
8977,8977,LIN37,0.044991606,0.212112248
7311,7311,HMOX1,0.044914024,0.211929291
11527,11527,MIR3977,0.04488141,0.211852332
5996,5996,FOXD4L1,0.044843246,0.211762238
7186,7186,HEY1,0.044787616,0.211630848
16372,16372,RAB40B,0.044714072,0.211457022
13948,13948,NUP88,0.044498478,0.210946623
12670,12670,MMP23A,0.044426947,0.210777007
7317,7317,HNF1A,0.044327113,0.21054005
3031,3031,CHMP1B,0.044314017,0.210508947
6429,6429,GIMAP6,0.044273166,0.210411897
7364,7364,HOTAIRM1,0.044178694,0.210187283
6633,6633,GOLGA8H,0.044142124,0.210100272
8904,8904,LGALS3,0.044105902,0.210014053
16118,16118,PSMG3,0.044094723,0.209987435
7060,7060,HAX1,0.043983483,0.209722394
13425,13425,NEGR1-IT1,0.043922537,0.209577044
2296,2296,CASR,0.043903549,0.209531736
11494,11494,MIR3911,0.04370991,0.209069152
365,365,ADPGK-AS1,0.043703012,0.209052654
4922,4922,EIF2B4,0.043649028,0.208923498
14979,14979,PDYN,0.043575434,0.208747296
4516,4516,DNAJC5,0.043493507,0.208550969
13720,13720,NPHS1,0.043460281,0.208471295
6077,6077,FRS3,0.043426401,0.208390021
7295,7295,HMGCLL1,0.043245618,0.207955808
3090,3090,CHST5,0.043086693,0.207573344
4654,4654,DSC1,0.043019096,0.207410452
6166,6166,G6PC3,0.042918983,0.207168971
13972,13972,NXNL1,0.042897671,0.207117529
7529,7529,HSPB9,0.04288403,0.207084597
9736,9736,LOC100506675,0.042876241,0.207065789
12797,12797,MROH7-TTC4,0.042761011,0.206787357
13243,13243,NAPEPLD,0.042653076,0.206526211
8243,8243,KCNK6,0.042608416,0.206418062
7616,7616,IDO1,0.042597809,0.206392367
15500,15500,POC1B-GALNT4,0.042514944,0.206191521
10670,10670,MATR3,0.042266259,0.205587593
11629,11629,MIR4435-1,0.042264186,0.205582552
1002,1002,ARHGEF10L,0.042199446,0.205425037
6158,6158,FZD8,0.042169989,0.205353326
7197,7197,HHAT,0.041857064,0.20458999
4099,4099,DCLRE1B,0.041841969,0.204553096
15100,15100,PHAX,0.041825053,0.204511742
7202,7202,HHIPL1,0.041807783,0.204469516
7804,7804,IL22RA2,0.041803417,0.204458839
5987,5987,FOXB1,0.041799353,0.204448902
906,906,APOO,0.041793873,0.204435498
12331,12331,MIR6777,0.041706741,0.204222284
1127,1127,ART1,0.041696172,0.204196406
1488,1488,BCAT2,0.041589531,0.203935116
1587,1587,BLACAT1,0.041419769,0.203518474
2815,2815,CDSN,0.041384206,0.203431083
15717,15717,PPP1R1C,0.041367038,0.203388883
15886,15886,PRKCZ,0.04136279,0.20337844
6795,6795,GPRIN1,0.041250157,0.203101347
3560,3560,CPNE8,0.04124868,0.203097712
6162,6162,G2E3,0.041077389,0.202675575
13146,13146,MYO5C,0.04090824,0.202257855
10759,10759,MDK,0.040758201,0.201886605
4135,4135,DDI2,0.040679326,0.201691166
7702,7702,IGF2BP2,0.040605509,0.201508088
7763,7763,IL13RA2,0.040477758,0.20119085
2085,2085,C9orf50,0.040459718,0.201146013
4100,4100,DCLRE1C,0.040399646,0.200996631
12791,12791,MROH1,0.040389016,0.200970188
10282,10282,LRRC37A6P,0.040343612,0.200857192
11566,11566,MIR4281,0.040333207,0.200831289
521,521,AKT1,0.04033166,0.200827439
3874,3874,CXCL11,0.040326188,0.200813814
7642,7642,IFITM1,0.040313973,0.200783399
5262,5262,EVX1-AS,0.040252722,0.200630809
10302,10302,LRRC57,0.040250164,0.200624436
15651,15651,PPFIA1,0.040148999,0.200372151
15520,15520,POLDIP3,0.040068565,0.20017134
6363,6363,GDPD5,0.040021522,0.200053797
14556,14556,OVOL1-AS1,0.039976312,0.199940771
15992,15992,PRR5-ARHGAP8,0.039937025,0.1998425
12433,12433,MIR6877,0.039889359,0.199723205
15106,15106,PHEX,0.039817459,0.199543126
192,192,ACSL3,0.039810845,0.199526552
7767,7767,IL17A,0.039784997,0.199461769
9525,9525,LINC01359,0.039750072,0.199374201
7222,7222,HILPDA,0.039591042,0.19897498
9819,9819,LOC101927378,0.039543949,0.198856603
789,789,ANXA10,0.039461338,0.19864878
13496,13496,NFKBIB,0.03941713,0.198537478
9306,9306,LINC00910,0.03940086,0.1984965
641,641,AMZ1,0.039398719,0.198491105
1323,1323,ATP7A,0.039390081,0.198469346
16980,16980,RNF215,0.039345284,0.198356458
12566,12566,MIR921,0.039327711,0.198312156
